Entry_date_time,Future_price,ATM,Days_to_expiry,CE_symbol,CE_entry_price,CE_exit_price,CE_exit_datetime,CE_pnl,PE_symbol,PE_entry_price,PE_exit_price,PE_exit_datetime,PE_pnl,Total_pnl
2019-01-01 10:30:00,27198.9,27200,2,BANKNIFTY03JAN1927200CE.NFO,106.95,128.34,2019-01-01 14:29:00,-21.39,BANKNIFTY03JAN1927200PE.NFO,199.0,56.7,2019-01-01 15:10:00,142.3,120.91000000000001
2019-01-02 10:30:00,27487.65,27500,1,BANKNIFTY03JAN1927500CE.NFO,74.15,0.0,,27.150000000000006,BANKNIFTY03JAN1927500PE.NFO,185.75,222.9,2019-01-02 12:21:00,-37.150000000000006,-10.0
2019-01-03 10:30:00,27271.0,27300,0,BANKNIFTY03JAN1927300CE.NFO,26.15,0.0,,10.149999999999999,BANKNIFTY03JAN1927300PE.NFO,157.65,189.18,2019-01-03 10:39:00,-31.53,-21.380000000000003
2019-01-04 10:30:00,27099.85,27100,6,BANKNIFTY10JAN1927100CE.NFO,177.7,213.23999999999998,2019-01-04 11:00:00,-35.53999999999999,BANKNIFTY10JAN1927100PE.NFO,270.5,0.0,,56.349999999999994,20.810000000000002
2019-01-07 10:30:00,27550.05,27600,3,BANKNIFTY10JAN1927600CE.NFO,102.2,0.0,,16.650000000000006,BANKNIFTY10JAN1927600PE.NFO,246.55,295.86,2019-01-07 11:43:00,-49.31,-32.66
2019-01-08 10:30:00,27430.0,27400,2,BANKNIFTY10JAN1927400CE.NFO,118.35,0.0,,33.05,BANKNIFTY10JAN1927400PE.NFO,194.1,232.92,2019-01-08 11:36:00,-38.81999999999999,-5.769999999999996
2019-01-09 10:30:00,27684.95,27700,1,BANKNIFTY10JAN1927700CE.NFO,67.25,80.7,2019-01-09 13:22:00,-13.450000000000003,BANKNIFTY10JAN1927700PE.NFO,183.95,0.0,,45.099999999999994,31.64999999999999
2019-01-10 10:30:00,27698.05,27700,0,BANKNIFTY10JAN1927700CE.NFO,34.35,0.0,,12.900000000000002,BANKNIFTY10JAN1927700PE.NFO,109.0,130.8,2019-01-10 11:00:00,-21.80000000000001,-8.90000000000001
2019-01-11 10:30:00,27621.3,27600,6,BANKNIFTY17JAN1927600CE.NFO,181.05,0.0,,38.20000000000002,BANKNIFTY17JAN1927600PE.NFO,229.0,274.8,2019-01-11 12:02:00,-45.80000000000001,-7.599999999999994
2019-01-14 10:30:00,27343.0,27300,3,BANKNIFTY17JAN1927300CE.NFO,171.2,0.0,,9.199999999999989,BANKNIFTY17JAN1927300PE.NFO,175.3,0.0,,12.700000000000017,21.900000000000006
2019-01-15 10:30:00,27467.0,27500,2,BANKNIFTY17JAN1927500CE.NFO,100.9,0.0,,-9.099999999999994,BANKNIFTY17JAN1927500PE.NFO,186.6,0.0,,25.44999999999999,16.349999999999994
2019-01-16 10:30:00,27604.0,27600,1,BANKNIFTY17JAN1927600CE.NFO,70.7,0.0,,19.300000000000004,BANKNIFTY17JAN1927600PE.NFO,148.0,0.0,,10.25,29.550000000000004
2019-01-17 10:30:00,27558.25,27600,0,BANKNIFTY17JAN1927600CE.NFO,15.55,0.0,,10.200000000000001,BANKNIFTY17JAN1927600PE.NFO,121.5,145.8,2019-01-17 12:01:00,-24.30000000000001,-14.10000000000001
2019-01-18 10:30:00,27541.1,27500,6,BANKNIFTY24JAN1927500CE.NFO,197.2,0.0,,1.1999999999999886,BANKNIFTY24JAN1927500PE.NFO,193.55,0.0,,18.55000000000001,19.75
2019-01-21 10:30:00,27613.7,27600,3,BANKNIFTY24JAN1927600CE.NFO,168.6,0.0,,14.599999999999994,BANKNIFTY24JAN1927600PE.NFO,184.3,0.0,,-6.049999999999983,8.550000000000011
2019-01-22 10:30:00,27509.25,27500,2,BANKNIFTY24JAN1927500CE.NFO,140.75,0.0,,-2.0999999999999943,BANKNIFTY24JAN1927500PE.NFO,158.95,0.0,,17.399999999999977,15.299999999999983
2019-01-23 10:30:00,27542.75,27500,1,BANKNIFTY24JAN1927500CE.NFO,118.0,141.6,2019-01-23 12:15:00,-23.599999999999994,BANKNIFTY24JAN1927500PE.NFO,107.0,0.0,,29.75,6.150000000000006
2019-01-24 10:30:00,27288.95,27300,0,BANKNIFTY24JAN1927300CE.NFO,36.8,44.16,2019-01-24 10:46:00,-7.359999999999999,BANKNIFTY24JAN1927300PE.NFO,95.1,0.0,,26.349999999999994,18.989999999999995
2019-01-25 10:30:00,27432.0,27400,6,BANKNIFTY31JAN1927400CE.NFO,200.85,0.0,,48.849999999999994,BANKNIFTY31JAN1927400PE.NFO,172.55,207.06,2019-01-25 13:44:00,-34.50999999999999,14.340000000000003
2019-01-28 10:30:00,26932.75,26900,3,BANKNIFTY31JAN1926900CE.NFO,223.4,0.0,,35.650000000000006,BANKNIFTY31JAN1926900PE.NFO,195.7,234.83999999999997,2019-01-28 11:15:00,-39.139999999999986,-3.4899999999999807
